time,plasma_current
0.33759975,630.4518
0.3377998,630.81903
0.33799982,630.9915
0.33819962,631.58765
0.33839965,632.01044
0.33859968,631.8267
0.33879972,631.941
0.33899975,632.3948
0.33919978,632.79126
0.3393998,633.1138
0.3395996,633.15704
0.33979964,633.58575
0.33999968,633.96576
0.3401997,633.59985
0.34039974,633.1874
0.34059978,632.87823
0.3407998,632.8231
0.3409996,632.80396
0.34119964,632.34814
0.34139967,632.59735
0.3415997,632.6739
0.34179974,632.5559
0.34199977,632.3316
0.3421998,632.11835
0.3423996,632.0407
0.34259963,631.92957
0.34279966,631.7084
0.3429997,631.75165
0.34319973,631.1419
0.34339976,630.91876
0.3435998,630.17865
0.3437996,629.8126
0.34399962,629.3536
0.34419966,629.18536
0.3443997,628.87915
0.34459972,628.61584
0.34479976,628.2557
0.3449998,627.76105
0.34519958,627.3514
0.34539962,627.0505
0.34559965,626.9887
0.34579968,626.96906
0.34599972,627.5253
0.34619975,627.31305
0.34639978,627.30676
0.34659982,627.5578
0.3467996,627.3654
0.34699965,627.5488
0.34719968,627.56915
0.3473997,627.55
0.34759974,627.50635
0.34779978,627.4415
0.3479998,627.23413
0.3481996,627.44434
0.34839964,627.61224
0.34859967,627.6989
0.3487997,628.17065
0.34899974,628.2498
0.34919977,628.357
0.3493998,628.2298
0.3495996,628.1694
0.34979963,627.0162
0.34999967,624.6228
0.3501997,620.08685
0.35039973,623.69147
0.35059977,626.2739
0.3507998,628.471
0.3509996,629.36017
0.35119963,629.2289
0.35139966,628.33905
0.3515997,627.6157
0.35179973,627.0717
0.35199976,626.6497
0.3521998,626.34204
0.3523996,626.56635
0.35259962,626.5149
0.35279965,626.79156
0.3529997,626.6818
0.35319972,626.972
0.35339975,627.2493
0.3535998,627.2422
0.35379982,627.3673
0.3539996,627.19745
0.35419965,627.42346
0.35439968,627.1186
0.3545997,626.7792
0.35479975,627.1141
0.35499978,627.1968
0.3551998,627.096
0.3553996,626.91956
0.35559964,627.0832
0.35579967,627.5489
0.3559997,627.69635
0.35619974,627.76135
0.35639977,628.0553
0.3565998,628.6436
0.3567996,629.05566
0.35699964,628.57605
0.35719967,628.8199
0.3573997,629.02997
0.35759974,628.9516
0.35779977,629.19366
0.3579998,628.857
0.3581996,629.0105
0.35839963,629.0409
0.35859966,628.38965
0.3587997,628.4395
0.35899973,628.5222
0.35919976,628.4578
0.3593998,628.3187
0.3595996,628.05
0.35979962,627.5797
0.35999966,627.6566
0.3601997,626.8009
0.36039972,626.56494
0.36059976,626.54364
0.3607998,626.4388
0.36099958,626.55316
0.36119962,625.8077
0.36139965,625.78424
0.36159968,625.6569
0.36179972,625.0214
0.36199975,624.372
0.36219978,624.6237
0.36239982,623.5578
0.3625996,623.43243
0.36279964,623.36566
0.36299968,623.07184
0.3631997,623.265
0.36339974,623.017
0.36359978,622.74225
0.3637998,623.39703
0.3639996,623.6839
0.36419964,623.93225
0.36439967,617.3321
0.3645997,619.68024
0.36479974,623.57245
0.36499977,625.6185
0.3651998,625.46954
0.3653996,625.7704
0.36559963,625.8609
0.36579967,626.27466
0.3659997,626.3806
0.36619973,626.4271
0.36639977,626.73694
0.3665998,626.8941
0.3667996,626.8868
0.36699963,627.28516
0.36719966,627.80444
0.3673997,628.15497
0.36759973,628.0726
0.36779976,628.103
0.3679998,627.9606
0.3681996,628.1746
0.36839962,627.88245
0.36859965,627.3239
0.3687997,627.64984
0.36899972,628.3011
0.36919975,628.6719
0.3693998,628.8494
0.36959982,628.54865
0.3697996,628.46796
0.36999965,628.24664
0.37019968,627.36115
0.3703997,627.0619
0.37059975,627.1431
0.37079978,627.3152
0.3709998,627.3517
0.3711996,627.0878
0.37139964,627.04
0.37159967,626.6861
0.3717997,625.9111
0.37199974,625.9138
0.37219977,626.40155
0.3723998,626.84357
0.3725996,626.82916
0.37279963,626.85266
0.37299967,626.54114
0.3731997,626.32446
0.37339973,625.9093
0.37359977,624.9512
0.3737998,625.3669
0.3739996,624.80884
0.37419963,624.5905
0.37439966,623.92505
0.3745997,623.5687
0.37479973,623.1934
0.37499976,622.68164
0.3751998,622.51514
0.3753996,623.1828
0.37559962,623.84094
0.37579966,624.2922
0.3759997,624.5043
0.37619972,622.4422
0.37639976,621.87665
0.3765998,623.96173
0.37679958,625.3483
0.37699962,626.19434
0.37719965,626.3858
0.37739968,626.4058
0.37759972,626.1424
0.37779975,625.97766
0.37799978,625.462
0.37819982,625.77527
0.3783996,625.5278
0.37859964,625.3971
0.37879968,626.1379
0.3789997,626.5179
0.37919974,626.8914
0.37939978,626.8872
0.3795998,626.5436
0.3797996,626.5488
0.37999964,625.6114
0.38019967,625.273
0.3803997,625.6057
0.38059974,625.7772
0.38079977,625.93835
0.3809998,625.8492
0.3811996,625.4293
0.38139963,625.45746
0.38159966,624.8352
0.3817997,624.06506
0.38199973,624.3735
0.38219976,621.3393
0.3823998,621.4807
0.3825996,623.56726
0.38279963,624.6775
